Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Haiti,,,,,,,,5.1,5.2,6.1,6.8,9.0,10.1,10.0,9.3,10.0,9.5,,6.7
Holy See,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Honduras,48.3,51.7,52.3,57.3,50.0,43.1,40.8,45.9,55.8,64.8,75.0,83.8,83.0,73.1,65.8,56.5,55.6,41.0,38.9
Hungary,2.0,2.5,2.0,2.2,2.1,1.6,1.7,1.5,1.8,1.4,1.4,1.5,1.3,1.6,1.5,2.3,2.1,2.5,
Iceland,1.8,0.4,1.4,0.0,1.0,1.0,0.0,0.7,0.0,0.3,0.6,0.9,0.3,0.3,0.6,0.9,0.3,0.9,0.9
India,4.6,4.3,4.2,4.0,4.1,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.6,3.7,3.4,3.2,3.1,3.1
Indonesia,1.0,,,0.7,0.6,,,,0.6,0.5,0.4,0.6,0.6,0.6,0.5,0.6,0.5,0.4,
Iran (Islamic Republic of),,,,2.6,2.9,,,,,3.0,,,,2.7,2.5,,,,
Iraq**,,,,,,,,,16.2,8.8,9.0,8.6,8.5,10.1,10.1,,,,
Iraq (Central Iraq)**,,,,,,,,,,,,,,,,,,,
Iraq (Kurdistan Region)**,,,,,,,,,,,,,,,,,,,
Ireland,1.0,1.4,1.3,0.9,0.7,1.3,1.5,1.8,1.2,1.2,1.2,0.9,1.1,1.1,1.1,0.7,0.8,0.9,0.9
Isle of Man,,,,,,,,,,,,1.2,2.4,2.4,3.6,1.2,0.0,,
Israel,2.6,3.2,3.4,2.7,2.5,2.6,2.3,2.0,1.7,2.0,2.0,2.0,1.7,1.6,1.4,1.4,1.3,1.5,
Italy,1.4,1.2,1.1,1.2,1.2,1.0,1.1,1.1,1.0,1.0,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.6,0.6
Jamaica,33.4,42.6,38.8,36.0,54.0,61.1,48.6,57.2,58.2,60.2,51.5,40.1,38.7,42.0,35.0,41.8,46.6,56.4,43.9
Japan,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3
Jordan,,,,,,1.2,1.7,1.8,1.8,1.5,1.6,1.8,2.0,1.7,1.9,1.6,1.4,1.4,
Kazakhstan*,15.6,14.5,13.1,13.2,13.7,,,,11.4,11.0,8.5,8.6,7.6,6.6,5.2,4.9,,5.1,
Kenya,,,,,3.4,3.0,2.9,2.8,3.1,4.7,4.6,5.3,5.4,5.4,4.9,4.7,4.8,4.9,4.9
Kiribati,3.6,4.7,,,,,,,7.1,1.0,3.9,10.5,7.5,,,,,,
Kosovo under UNSCR 1244,,,,,,,,,,,,,,,,,,,
Kuwait,,1.9,1.1,1.3,2.0,1.8,1.9,2.4,1.4,1.7,2.0,1.9,1.8,,,,,,
Kyrgyzstan,8.7,7.8,8.2,8.4,8.3,9.7,8.7,8.0,7.9,7.9,16.8,8.5,6.8,5.3,5.5,5.1,4.4,4.1,2.2
Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,
Latvia,10.0,9.3,9.2,8.8,7.9,5.6,5.8,4.3,4.6,5.0,3.3,3.3,3.4,2.4,3.2,3.4,3.5,4.2,4.4
Lebanon,,,,,,,,,3.8,3.0,3.3,3.2,3.5,4.0,3.8,3.5,3.5,3.6,2.5
Lesotho,,,,,,,,45.0,37.8,36.3,38.3,35.5,31.8,32.4,,43.6,,,
Liberia,,,,,,,,2.9,4.9,3.9,3.3,4.0,3.3,,,,,,
Libya,,,,,,,,,,,,,,,,,,,
Liechtenstein,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,2.8,0.0,2.8,0.0,0.0,0.0,2.7,0.0,0.0,2.6,2.6
Lithuania,10.6,10.2,8.5,10.1,10.1,11.1,8.7,8.5,9.3,8.0,7.0,6.8,6.6,6.6,5.4,5.9,5.3,4.5,4.6
Luxembourg,0.9,2.0,1.4,0.7,0.4,0.9,1.5,1.5,1.6,1.0,2.0,0.8,0.0,0.2,0.7,0.9,0.9,0.3,
Madagascar,,,,,,,,,,,,,,,,,,,
Malawi,6.3,7.9,4.8,2.5,3.3,1.6,6.3,5.2,5.7,2.3,3.6,2.3,1.8,,,,,,
Malaysia,2.4,2.2,2.3,2.3,2.0,2.4,2.2,2.4,2.2,2.0,1.9,1.8,2.1,2.1,,,,,
Maldives,,2.4,2.7,1.3,,,,0.9,1.5,1.7,1.6,0.8,2.5,0.7,,,,,
Mali,,,,,,,,,,,,,,,,,,,
Malta,1.0,1.5,1.5,0.0,1.7,1.0,0.0,1.0,1.5,1.0,1.0,0.7,2.8,1.6,1.4,0.9,1.1,2.1,1.6
Marshall Islands,,,,,,,,,,,,,,,,,,,
Martinique,,,,,4.8,4.8,5.8,5.8,4.3,2.8,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,
Mauritius,2.2,,,3.2,2.9,3.0,4.1,3.6,3.9,3.1,2.6,2.6,2.2,2.8,1.5,1.7,1.7,2.6,2.9
Mayotte,,,,,,,,14.2,2.5,5.9,,,,,,,,,
Mexico,10.9,10.3,9.9,9.8,8.9,9.4,9.7,8.1,12.6,17.6,22.6,23.5,22.1,19.4,16.6,17.0,19.9,25.7,29.1
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,
Monaco,,3.1,,,3.0,3.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,
Mongolia,,,,13.9,13.3,15.8,13.1,11.4,8.1,8.2,8.8,9.6,7.0,7.1,7.2,7.1,6.0,6.1,6.2
Montenegro,,,4.4,3.3,2.3,3.6,4.0,1.9,3.9,3.4,2.4,3.4,2.7,1.6,3.2,2.7,4.5,2.4,2.2
Montserrat,0.0,0.0,0.0,0.0,0.0,20.7,20.4,,20.4,,,,20.3,,,,,,
Morocco,1.6,1.9,1.6,1.7,1.6,1.5,1.6,1.7,1.4,1.4,1.4,1.3,1.2,1.3,1.0,1.2,1.7,2.1,1.4
Mozambique,,6.0,5.5,5.4,5.7,5.3,4.2,3.9,4.5,3.6,3.7,3.5,,,,,,,
Myanmar,2.2,1.9,1.7,1.6,1.5,1.4,1.6,1.5,1.6,1.7,1.6,2.1,2.8,2.4,2.4,2.2,2.3,,
Namibia,21.2,19.4,18.7,,18.5,,,,17.3,18.6,14.8,14.3,17.7,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,
Nepal,2.7,3.5,3.5,3.0,3.7,3.4,2.3,3.2,3.3,3.0,3.0,2.5,2.4,2.3,2.1,,2.3,,
Netherlands,1.1,1.3,1.2,1.2,1.2,1.1,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.7,0.6,0.6,0.8,0.6
New Caledonia,,,,,,,3.3,4.9,4.5,3.2,,,,,,,,,
New Zealand#,1.3,1.3,1.5,1.1,1.1,1.5,1.2,1.1,1.2,1.5,1.0,0.9,0.9,1.0,0.9,1.0,1.1,0.7,
Nicaragua,9.4,10.4,10.6,12.0,12.0,13.4,13.1,12.8,13.0,14.0,13.5,12.5,11.2,9.8,8.5,8.4,7.2,,
Niger,,,,,,,,,,,,4.9,4.4,,,,,,
Nigeria,,,,,,,,,,,,,,,,,34.5,,
